City,Greater Population ('000),"Greater Area
(km2)","Greater Density
(Persons/km 2)","City Population
(‘000)","City Area
(km2)","City Density
(Persons/km 2)","Rail length
(km)","Rail length
(km)","Public bus
fleet size","Rail length
(km) per
million
persons","No. of rail
stations
per km 2 of
land area","Public
buses per
million
persons","Daily ridership ('000) Rail
and LRT)",Daily ridership ('000) Public bus,"Road density
(km of km2)","Motor Vehicles
(‘000)","Private cars
(‘000)","Private cars per
100 persons"
Beijing,20186 ,16411 ,1230 ,12014 ,1368 ,8780 ,456 ,456 ,21628 ,38 ,0 ,1071 ,6008 ,13788 ,2 ,4983 ,2862 ,14 
Berlin,3502 ,892 ,3927 ,3502 ,892 ,3927 ,146 ,146 ,1316 ,42 ,0 ,376 ,1386 ,1052 ,6 ,1305 ,1120 ,32 
Hong Kong,7184 ,1104 ,6505 ,7184 ,1104 ,6505 ,218 ,218 ,5743 ,30 ,0 ,799 ,4701 ,3833 ,2 ,653 ,455 ,6 
London,8302 ,1572 ,5281 ,8302 ,1572 ,5281 ,436 ,436 ,7500 ,53 ,0 ,903 ,3641 ,6397 ,9 ,2934 ,2535 ,31 
Madrid,3249 ,604 ,5377 ,3249 ,604 ,5377 ,292 ,292 ,2095 ,90 ,0 ,645 ,1644 ,1169 ,5 ,1687 ,1330 ,41 
New York,8337 ,790 ,10553 ,8337 ,790 ,10553 ,373 ,373 ,4344 ,45 ,1 ,521 ,4521 ,1825 ,13 ,1978 ,1777 ,21 
Shanghai,23475 ,6341 ,3702 ,14679 ,1871 ,7847 ,454 ,454 ,16235 ,31 ,0 ,692 ,5756 ,7592 ,3 ,3280 ,989 ,4 
Singapore,5312 ,716 ,7422 ,5312 ,716 ,7422 ,178 ,178 ,4212 ,34 ,0 ,793 ,2649 ,3481 ,5 ,970 ,535 ,10 
Sydney,4667 ,12368 ,377 ,1721 ,594 ,2899 ,329 ,329 ,2213 ,71 ,0 ,474 ,829 ,625 ,-,2626 ,2626 ,56 
Tokyo,13277 ,2189 ,6066 ,9050 ,622 ,14550 ,304 ,304 ,1462 ,34 ,0 ,162 ,8715 ,554 ,19 ,2117 ,1641 ,18 
Vienna,1757 ,415 ,4235 ,1757 ,415 ,4235 ,74 ,74 ,496 ,42 ,0 ,282 ,1608 ,323 ,7 ,838 ,679 ,39 
Warsaw,1709 ,517 ,3303 ,1709 ,517 ,3303 ,23 ,23 ,1561 ,14 ,0 ,914 ,362 ,1346 ,4 ,1187 ,957 ,56 
